week,avg_vl,avg_pos_rate,cases.symptom.onset,cases.reported,pcr_tests,pcr_pos,case_prop_pos
2020 W27,3270349804938.6025,22.727272727272727,55,18,551,66,11.978221415607985
2020 W28,2905038602802.716,14.285714285714285,67,35,649,82,12.63482280431433
2020 W29,2270404525149.121,25.925925925925924,58,30,729,78,10.699588477366255
2020 W30,4556508828015.213,41.02564102564102,38,27,586,58,9.897610921501707
2020 W31,3712213668787.932,30.555555555555557,41,23,566,60,10.60070671378092
2020 W32,2775619284383.958,2.7777777777777777,41,29,494,57,11.538461538461538
2020 W33,2657946517356.3086,8.333333333333332,33,25,627,32,5.103668261562999
2020 W34,3413400302692.0107,41.66666666666667,52,38,778,55,7.069408740359898
2020 W35,3632031025265.697,22.22222222222222,84,40,763,49,6.422018348623854
2020 W36,5782983525363.064,44.44444444444444,222,168,920,182,19.782608695652172
2020 W37,5096263801348.971,61.111111111111114,109,207,1003,106,10.568295114656031
2020 W38,3902272746696.5796,38.333333333333336,43,52,801,63,7.865168539325842
2020 W39,3357163792076.123,26.666666666666668,15,22,526,20,3.802281368821293
2020 W40,3394625339946.878,13.88888888888889,22,20,495,18,3.6363636363636362
2020 W41,2673233940058.7764,11.11111111111111,36,15,639,24,3.755868544600939
2020 W42,3292419977478.588,14.814814814814813,31,20,612,28,4.57516339869281
2020 W43,2824209362214.2134,18.51851851851852,20,12,579,20,3.454231433506045
2020 W44,3594770242648.2334,25.925925925925924,20,21,616,26,4.220779220779221
2020 W45,2899826964996.217,9.25925925925926,40,12,628,31,4.936305732484077
2020 W46,2757118641302.8145,12.037037037037036,31.5,21.5,670,34,5.057009828355824
2020 W47,2626949522060.83,7.407407407407407,34.5,17.5,946.5,30.5,3.31921303259279
2020 W48,2891348254525.96,18.75,46.5,35.5,874,29.5,4.827898550724638
2020 W49,4471250114380.519,15.740740740740739,82.5,60,800,79.5,10.301274184147804
2020 W50,3980025688599.1104,26.851851851851848,71.5,57.5,794,80.5,10.08668934139073
2020 W51,4371168627839.796,32.407407407407405,72,42.5,905,68,7.458082546457007
2020 W52,6754589218137.715,46.2962962962963,66,56,1004,91,9.063745019920319
2020 W53,5387464205430.956,44.44444444444444,121,22,642,130,20.24922118380062
2021 W01,3929907730036.5073,29.629629629629626,166,44,1367,173,12.655449890270665
2021 W02,9078867374555.12,49.074074074074076,106,93.5,1032.5,112.5,10.829687132439426
2021 W03,9609612239397.65,48.14814814814815,99,66.5,1071,105,9.843250553233341
2021 W04,4851708551978.777,30.555555555555554,71,44,789,69.5,8.863146682160409
2021 W05,3886598931463.3647,23.148148148148145,51.5,42,827,57,6.937753023804244
2021 W06,3261322098572.809,15.740740740740739,43.5,34.5,789,41.5,5.359775734295582
2021 W07,4177346168321.538,12.962962962962962,27,24.5,655,29.5,4.403981264637002
2021 W08,3376889156894.052,15.468409586056644,22.5,20,657.5,21,3.1783819905609154
2021 W09,3365098038176.7783,10.185185185185183,16,36.5,539.5,17,3.176245711260391
2021 W10,3146730696343.6875,12.962962962962962,20,14,540,21.5,3.878030677882237
2021 W11,3162487663559.3213,0,13.5,11.5,378,8,2.1336060463845676
2021 W12,2777875169592.708,2.7777777777777777,16,6,345,13,3.7689075630252105
2021 W13,3043025512007.537,8.683683683683684,9.5,8,296,8.5,2.810108601017275
2021 W14,2942294380102.718,12.5,14.5,10,259,7,2.6768785177886265
2021 W15,3721365249443.825,6.481481481481481,17,8.5,410.5,11.5,3.3711770157553294
2021 W16,3811454699836.6904,9.259259259259258,9,6.5,603,10.5,1.757848699698196
2021 W17,2854820810187.669,4.668753260302556,10,7.5,468.5,15,3.0956796357159906
2021 W18,4030384543425.827,2.314814814814815,11,3.5,254.5,5.5,2.059036643433856
2021 W19,3081237152575.593,5.109899619245413,6,2.5,302.5,8.5,2.647596196178568
2021 W20,2600922528776.3857,5.610021786492375,6.5,3.5,220,3.5,1.6281512605042014
2021 W21,2486449985485.942,3.0092592592592595,6.5,4.5,156.5,3,2.020919421487603
2021 W22,2341261028344.723,0,3.5,0.5,169,2,1.1220296587457566
2021 W23,2798815496944.6836,1.8518518518518516,2.5,1,156.5,3.5,2.2312541473125416
2021 W24,2441576266701.6064,2.7777777777777777,2.5,1,149.5,0.5,0.3875968992248062
2021 W25,2876901469884.824,6.944444444444445,1.5,2,122,2,1.5875160440451257
2021 W26,2483442985340.8125,0.4629629629629629,5,1.5,106,4,4.111560953666216
2021 W27,5236249219491.055,16.666666666666664,8,1,116,5,4.310344827586207
2021 W28,6582151187300.872,16.203703703703702,6.5,7,149,5,3.540033262057496
2021 W29,8734540087478.967,40.66566566566567,14,8,176.5,17.5,10.069717203456403
2021 W30,10980017054804.305,48.14814814814815,29.5,22,266.5,43,16.143545116593444
2021 W31,16686594472239.959,72.68518518518519,39.5,42,350.5,48.5,14.206975157656531
2021 W32,20353989444204.3,82.40740740740742,58,41,499.5,73.5,14.727633477633479
2021 W33,21568719303887.996,72.05882352941177,89.5,62.5,753,85.5,11.437933911174584
2021 W34,34663170710678.64,96.85185185185185,128.5,92.5,880.5,125,14.25954208523692
2021 W35,30055316174377.73,92.59259259259258,133.5,72,965.5,132.5,13.697089117581696
2021 W36,24915208442956.586,92.59259259259258,79.5,84,880.5,102,11.589443284495017
2021 W37,16607904684163.969,81.01851851851852,70.5,33,718,85,11.859860248447204
2021 W38,18693131673163.44,71.29629629629629,49,44.5,651,58,8.906939917920786
2021 W39,11960605872828.537,63.425925925925924,29,24.5,544.5,42,7.676249796007181
2021 W40,10526292176412.857,44.907407407407405,21.5,14.5,465,28.5,6.10831498130654
