Collection,date,wrf,influent_flow_mg,influent_tss_mg_l,notes
1,2020-05-19,NO ,6.11,310,
1,2020-05-19,MI ,3.92,234,
1,2020-05-19,CC,1.63,360,
2,2020-05-26,NO ,4.93,306,
2,2020-05-26,MI ,3.66,98,
2,2020-05-26,CC,2.22,384,
3,2020-06-02,NO ,4.92,726,
3,2020-06-02,MI ,3.23,94,
3,2020-06-02,CC,2.03,1130,
4,2020-06-09,NO ,5.22,338,
4,2020-06-09,MI ,3.34,108,
4,2020-06-09,CC,1.71,200,
5,2020-06-16,NO ,4.82,418,
5,2020-06-16,MI ,3.22,240,
5,2020-06-16,CC,1.31,364,
6,2020-06-23,NO ,5.3,142,
6,2020-06-23,MI ,3.44,322,
6,2020-06-23,CC,1.56,244,
7,2020-06-30,NO ,4.95,284,
7,2020-06-30,MI ,3.02,428,
7,2020-06-30,CC,1.63,384,
8,2020-07-07,NO ,5.56,206,
8,2020-07-07,MI ,3.41,378,
8,2020-07-07,CC,1.83,269,
9,2020-07-14,NO ,4.8,397,
9,2020-07-14,MI ,2.92,220,
9,2020-07-14,CC,1.44,328,
10,2020-07-21,NO ,4.7,160,
10,2020-07-21,MI ,3.22,168,
10,2020-07-21,CC,1.81,332,
11,2020-07-28,NO ,4.77,256,
11,2020-07-28,MI ,2.97,258,
11,2020-07-28,CC,1.31,196,
12,2020-08-04,NO ,5.8,296,
12,2020-08-04,MI ,3.54,176,
12,2020-08-04,CC,1.54,260,
13,2020-08-11,NO ,5.16,319,
13,2020-08-11,MI ,3.2,104,
13,2020-08-11,CC,1.42,430,
14,2020-08-18,NO ,5.71,266,
14,2020-08-18,MI ,3.34,292,
14,2020-08-18,CC,1.67,628,
15,2020-08-25,NO ,6.36,294,
15,2020-08-25,MI ,4.05,196,
15,2020-08-25,CC,1.75,256,
16,2020-09-01,NO ,5.73,215,
16,2020-09-01,MI ,3.3,248,
16,2020-09-01,CC,1.71,444,
17,2020-09-08,NO ,4.96,250,
17,2020-09-08,MI ,3.26,212,
17,2020-09-08,CC,1.37,184,
18,2020-09-15,NO ,5.46,596,
18,2020-09-15,MI ,3.45,208,
18,2020-09-15,CC,1.51,492,
19,2020-09-22,NO ,5.42,233,
19,2020-09-22,MI ,3.64,244,
19,2020-09-22,CC,1.95,1080,
20,2020-09-29,NO ,5.55,218,
20,2020-09-29,MI ,3.71,172,
20,2020-09-29,CC,1.69,228,
21,2020-10-06,NO ,5.38,286,
21,2020-10-06,MI ,3.42,232,
21,2020-10-06,CC,1.52,420,
22,2020-10-13,NO ,5.63,454,
22,2020-10-13,MI ,3.72,484,
22,2020-10-13,CC,1.95,384,
23,2020-10-20,NO ,5.22,123,
23,2020-10-20,MI ,3.44,172,
